task,downstream_model,dataset,focus_method,baseline,n_k,supported_k,mean_delta,median_delta,start_delta,end_delta,delta_change,win_share,nonloss_share
classification,svm,glass,cif,pi,2,"5,10",-0.0001984126984126977,-0.0001984126984126977,-0.0003968253968253954,0.0,0.0003968253968253954,0.0,0.5
classification,svm,glass,cif,ptest_mc,2,"5,10",-0.0009047619047619082,-0.0009047619047619082,-0.0018095238095238164,0.0,0.0018095238095238164,0.0,0.5
classification,svm,glass,cif,ptest_rdc,2,"5,10",0.007984126984126982,0.007984126984126982,0.015968253968253965,0.0,-0.015968253968253965,0.5,1.0
classification,svm,glass,cif,r_cforest,2,"5,10",0.0015079365079364582,0.0015079365079364582,0.0030158730158729163,0.0,-0.0030158730158729163,0.5,1.0
classification,svm,glass,cif,r_ctree,2,"5,10",0.031212301587301594,0.031212301587301594,0.06242460317460319,0.0,-0.06242460317460319,0.5,1.0
classification,svm,glass,cif,rf,2,"5,10",0.008406746031746015,0.008406746031746015,0.01681349206349203,0.0,-0.01681349206349203,0.5,1.0
classification,svm,glass,cif,rfe,2,"5,10",0.017722222222222195,0.017722222222222195,0.03544444444444439,0.0,-0.03544444444444439,0.5,1.0
classification,svm,glass,cif,xgb,2,"5,10",-0.006823412698412745,-0.006823412698412745,-0.01364682539682549,0.0,0.01364682539682549,0.0,0.5
classification,svm,isolet,cif,boruta,5,"5,10,25,50,100",0.22998496305953936,0.21775662755323777,0.10375401999130815,0.10944850065189049,0.005694480660582341,1.0,1.0
classification,svm,isolet,cif,cat,5,"5,10,25,50,100",-0.07836088657105607,-0.0163133420252064,-0.20665884398087786,-0.0163133420252064,0.19034550195567146,0.0,0.0
classification,svm,isolet,cif,cit,5,"5,10,25,50,100",-0.03440217296827465,-0.01997175141242935,-0.09256801390699693,0.0002707518470229653,0.09283876575401989,0.4,0.4
classification,svm,isolet,cif,cpi,5,"5,10,25,50,100",0.1281585397653195,0.14271838331160364,0.03949500217296831,0.058078661451542835,0.018583659278574527,1.0,1.0
classification,svm,isolet,cif,et,5,"5,10,25,50,100",0.06142033898305088,0.024152976966536288,0.007179487179487187,0.015539765319426357,0.00836027813993917,1.0,1.0
classification,svm,isolet,cif,lgbm,5,"5,10,25,50,100",-0.051203563667970464,-0.020085614950021702,-0.09133333333333332,-0.012620165145588946,0.07871316818774438,0.0,0.0
classification,svm,isolet,cif,pi,5,"5,10,25,50,100",-0.015855367231638405,0.002949587136027887,-0.09780530204259019,0.002949587136027887,0.10075488917861808,0.6,0.6
classification,svm,isolet,cif,ptest_mc,5,"5,10,25,50,100",0.09154671881790527,0.06888917861799221,0.06888917861799221,0.068639287266406,-0.0002498913515862067,1.0,1.0
classification,svm,isolet,cif,ptest_rdc,5,"5,10,25,50,100",0.17112759669708824,0.1456362451108214,0.1456362451108214,0.017590178183398586,-0.12804606692742282,1.0,1.0
classification,svm,isolet,cif,r_cforest,5,"5,10,25,50,100",0.02479878313776619,0.02240764884832691,-0.10612646675358534,0.02240764884832691,0.12853411560191225,0.6,0.6
classification,svm,isolet,cif,r_ctree,5,"5,10,25,50,100",-0.007763957699550894,-0.007740402723453554,-0.04010777922642328,0.006538316673909916,0.046646095900333195,0.4,0.4
classification,svm,isolet,cif,rf,5,"5,10,25,50,100",-0.027047718383311624,0.006688830943068269,-0.10501607996523249,0.006688830943068269,0.11170491090830076,0.6,0.6
classification,svm,isolet,cif,rfe,5,"5,10,25,50,100",-0.08749752281616685,-0.02335419382877002,-0.22146110386788354,-0.006928292046936013,0.21453281182094752,0.0,0.0
classification,svm,isolet,cif,xgb,5,"5,10,25,50,100",-0.03660999565406346,-0.012694915254237271,-0.09251847023033466,-0.012439808778791805,0.08007866145154285,0.0,0.0
classification,svm,letter,cif,boruta,2,"5,10",0.34802968971273684,0.34802968971273684,0.547964467416769,0.14809491200870473,-0.39986955540806424,1.0,1.0
classification,svm,letter,cif,cat,2,"5,10",-0.004489238338523993,-0.004489238338523993,-0.009723346359542862,0.0007448696824948753,0.010468216042037737,0.5,0.5
classification,svm,letter,cif,cit,2,"5,10",0.003730964679743043,0.003730964679743043,0.004883453304428631,0.002578476055057455,-0.002304977249371176,1.0,1.0
classification,svm,letter,cif,cpi,2,"5,10",-0.009133417837205726,-0.009133417837205726,-0.01819292023485075,-7.391543956070112e-05,0.01811900479529005,0.0,0.0
classification,svm,letter,cif,et,2,"5,10",-0.00476008096030206,-0.00476008096030206,-0.017510240120039433,0.007990078199435313,0.025500318319474746,0.5,0.5
classification,svm,letter,cif,lgbm,2,"5,10",-0.008877486659127631,-0.008877486659127631,-0.01768105787869456,-7.391543956070112e-05,0.01760714243913386,0.0,0.0
classification,svm,letter,cif,pi,2,"5,10",-0.009133417837205726,-0.009133417837205726,-0.01819292023485075,-7.391543956070112e-05,0.01811900479529005,0.0,0.0
classification,svm,letter,cif,ptest_mc,2,"5,10",0.06058613573153421,0.06058613573153421,0.10649914422659779,0.014673127236470629,-0.09182601699012716,1.0,1.0
classification,svm,letter,cif,ptest_rdc,2,"5,10",0.06268426514320286,0.06268426514320286,0.09710500038084957,0.02826352990555614,-0.06884147047529343,1.0,1.0
classification,svm,letter,cif,r_cforest,2,"5,10",-0.0034980147413353757,-0.0034980147413353757,-0.008662754130052686,0.0016667246473819342,0.01032947877743462,0.5,0.5
classification,svm,letter,cif,r_ctree,2,"5,10",0.04856054969396584,0.04856054969396584,0.09719501482749238,-7.391543956070112e-05,-0.09726893026705308,0.5,0.5
classification,svm,letter,cif,rf,2,"5,10",-0.007327509099117446,-0.007327509099117446,-0.015813324205999124,0.0011583060077642315,0.016971630213763356,0.5,0.5
classification,svm,letter,cif,rfe,2,"5,10",-0.0004235300855848223,-0.0004235300855848223,-0.0011300625329090375,0.00028300236173939286,0.0014130648946484303,0.5,0.5
classification,svm,letter,cif,xgb,2,"5,10",-0.005900939840882691,-0.005900939840882691,-0.01172796424220468,-7.391543956070112e-05,0.01165404880264398,0.0,0.0
classification,svm,madelon,cif,boruta,5,"5,10,25,50,100",-0.02477999999999998,-0.025699999999999945,-0.025699999999999945,0.006000000000000005,0.03169999999999995,0.2,0.2
classification,svm,madelon,cif,cat,5,"5,10,25,50,100",-0.020980000000000044,-0.01880000000000004,-0.01880000000000004,-0.0017000000000000348,0.017100000000000004,0.0,0.0
classification,svm,madelon,cif,cit,5,"5,10,25,50,100",0.05164,0.07319999999999993,-0.03320000000000001,0.03639999999999999,0.0696,0.8,0.8
classification,svm,madelon,cif,cpi,5,"5,10,25,50,100",0.17874,0.2117,0.2117,0.05989999999999995,-0.15180000000000005,1.0,1.0
classification,svm,madelon,cif,et,5,"5,10,25,50,100",-0.01484000000000001,-0.008299999999999974,0.01770000000000005,-0.0047000000000000375,-0.022400000000000087,0.2,0.2
classification,svm,madelon,cif,lgbm,5,"5,10,25,50,100",-0.028080000000000015,-0.037699999999999956,-0.037699999999999956,-0.00019999999999997797,0.03749999999999998,0.0,0.0
