study,task,n,k,threshold_test,stopping,repeats,censored,timeout_seconds,seconds_per_fit,seconds_min,seconds_max,depth
synthetic_scaling,regression,1000,256,bonferroni,adaptive,3,False,1200.0,0.2248537160000978,0.2247700640000403,0.2256237210001472,6.0
synthetic_scaling,regression,1000,256,bonferroni,exhaustive,3,False,1200.0,1.1464256060000937,1.1407475380001415,1.1484178690000135,6.0
synthetic_scaling,regression,1000,256,bonferroni_fixed,adaptive,3,False,1200.0,0.1837204360001578,0.1830583749999732,0.1849842569999964,6.0
synthetic_scaling,regression,1000,256,bonferroni_fixed,exhaustive,3,False,1200.0,0.2180706259998714,0.2169635929999458,0.2185268609998729,0.0
synthetic_scaling,regression,1000,256,maxt,adaptive,3,False,1200.0,0.0979625270001633,0.0921483030001582,0.1006150200000774,6.666666666666667
synthetic_scaling,regression,1000,256,maxt,exhaustive,3,False,1200.0,0.2972045250000974,0.2968783250000797,0.2975189950000185,8.0
synthetic_scaling,regression,4000,16,bonferroni,adaptive,3,False,1200.0,0.1570152470001176,0.1564414189999752,0.1840869620000376,7.0
synthetic_scaling,regression,4000,16,bonferroni,exhaustive,3,False,1200.0,0.214702329000147,0.2130628170000363,0.2147880420000092,7.0
synthetic_scaling,regression,4000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.1425912509998852,0.1420612849999543,0.1517581699999937,7.0
synthetic_scaling,regression,4000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.1741126879999228,0.171566969999958,0.1743079440000201,7.0
synthetic_scaling,regression,4000,16,maxt,adaptive,3,False,1200.0,0.1567945130000225,0.1543871769999896,0.1577960049999092,10.0
synthetic_scaling,regression,4000,16,maxt,exhaustive,3,False,1200.0,0.2565805389999696,0.2557855840000229,0.256854168000018,7.0
synthetic_scaling,regression,4000,64,bonferroni,adaptive,3,False,1200.0,0.4495524019998811,0.4487390369999957,0.4534101029998965,8.0
synthetic_scaling,regression,4000,64,bonferroni,exhaustive,3,False,1200.0,1.7375667829999202,1.6739607839999735,1.7861743329999626,8.0
synthetic_scaling,regression,4000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.2780098110001745,0.2775004439999975,0.3636651330000404,8.0
synthetic_scaling,regression,4000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.2036017979999087,0.2035929579999447,0.204103785000143,0.0
synthetic_scaling,regression,4000,64,maxt,adaptive,3,False,1200.0,0.2213495910000347,0.2197122469999612,0.2254168590000063,9.0
synthetic_scaling,regression,4000,64,maxt,exhaustive,3,False,1200.0,0.5396465949997946,0.5388711000000512,0.5420364499998414,8.0
synthetic_scaling,regression,4000,256,bonferroni,adaptive,3,False,1200.0,1.5577772700000878,1.5524532209999506,1.5770735780001814,7.0
synthetic_scaling,regression,4000,256,bonferroni,exhaustive,3,False,1200.0,10.169822831999909,10.139218840000012,10.2160534919999,7.0
synthetic_scaling,regression,4000,256,bonferroni_fixed,adaptive,3,False,1200.0,0.9380064869999388,0.9342638379998788,0.9410209210000176,7.0
synthetic_scaling,regression,4000,256,bonferroni_fixed,exhaustive,3,False,1200.0,0.7885835519998636,0.7874545469999248,0.7942689330000121,0.0
synthetic_scaling,regression,4000,256,maxt,adaptive,3,False,1200.0,0.4124371399998381,0.3648652220001622,0.472342579999804,8.0
synthetic_scaling,regression,4000,256,maxt,exhaustive,3,False,1200.0,1.3967710360000185,1.3797297050000452,1.4012119379999604,7.0
