task,dataset_source,dataset_type,variant,n_runs,n_success,mean_elapsed_seconds,median_elapsed_seconds,p25_elapsed_seconds,p75_elapsed_seconds,mean_elapsed_ratio_vs_default,median_elapsed_ratio_vs_default,mean_elapsed_speedup_vs_default,median_elapsed_speedup_vs_default,mean_depth,mean_max_depth,mean_features_used,mean_importance_nonzero_count,mean_precision_at_10,mean_recall_at_10,mean_f1_at_10,changes_statistical_rule
clf,synthetic,clf_standard_easy,cit_no_feature_scan,5,5,16.70495519160001,17.330342312000028,15.978631709000013,20.000771415000003,0.792865339468422,0.6526947841700909,1.4795367788130427,1.532109684730378,7.0,7.0,6.0,6.0,0.64,0.64,0.64,False
clf,synthetic,clf_standard_easy,cit_no_threshold_scan,5,5,6.527333448999985,6.024469467000017,5.206374327999924,7.816552253999987,0.33832794381463693,0.2824966579054593,3.8542870957795436,3.5398648869490743,10.6,10.6,6.0,6.0,0.64,0.64,0.64,False
clf,synthetic,clf_standard_hard,cit_default,5,5,74.0268380294,53.468838547999994,46.33689954900001,89.57297750599997,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.12000000000000002,0.24000000000000005,0.15999999999999998,False
clf,synthetic,clf_standard_hard,cit_exact_thresholds,5,5,90.67118793039997,48.31737066400001,46.456531483999925,134.84107337799992,1.1788070809007696,1.0011471781113566,0.9203117540086971,0.9988541363982859,2.4,2.4,1.4,1.4,0.13999999999999999,0.27999999999999997,0.18666666666666665,False
clf,synthetic,clf_standard_hard,cit_no_adaptive,5,5,3.412682588799987,2.072564867999972,1.957207776999894,2.147705917000053,0.058214297381538084,0.04223864341484911,31.98326025942772,23.675002773608192,2.2,2.2,0.8,0.8,0.1,0.2,0.1333333333333333,False
clf,synthetic,clf_standard_hard,cit_no_bonferroni,5,5,0.29382996480003387,0.2898131900001317,0.1595532210000101,0.4321185839999089,0.004729218535410991,0.003208327330413905,303.58257894558176,311.688894870646,8.0,8.0,16.6,16.6,0.13999999999999999,0.27999999999999997,0.18666666666666665,True
clf,synthetic,clf_standard_hard,cit_no_feature_mute,5,5,72.88580244820004,47.441655526000034,46.39446305299998,90.23468828600004,0.9793947487772663,1.0012422821673492,1.0234930711307288,0.9987592591828423,2.0,2.0,1.0,1.0,0.12000000000000002,0.24000000000000005,0.15999999999999998,False
clf,synthetic,clf_standard_hard,cit_no_feature_scan,5,5,48.75221881360003,46.45201858600012,42.456552233000025,46.55939679700009,0.7525919043422582,0.7940429114592786,1.4885297845744758,1.2593777811859272,1.8,1.8,0.8,0.8,0.1,0.2,0.1333333333333333,False
clf,synthetic,clf_standard_hard,cit_no_threshold_scan,5,5,99.4995225742,133.89865021499998,46.60027078400003,134.736694519,1.4071371213898702,1.0115340287532772,0.80901890338374,0.9885974881463028,2.4,2.4,1.6,1.6,0.18,0.36,0.24,False
clf,synthetic,clf_toeplitz,cit_default,5,5,9.826308291799995,9.319113308,7.544122652999988,10.378608114999992,1.0,1.0,1.0,1.0,4.4,4.4,3.0,3.0,0.32,0.32,0.32,False
clf,synthetic,clf_toeplitz,cit_exact_thresholds,5,5,20.211727803000002,17.111331498,8.011008785000001,29.28866641000002,2.0667513199557255,1.648711591033998,0.6992234718415699,0.6065342206837067,4.0,4.0,3.0,3.0,0.3,0.3,0.3,False
clf,synthetic,clf_toeplitz,cit_no_adaptive,5,5,4.099395983399987,2.601024951999989,2.5812037439999926,2.764252484999986,0.44357552833181335,0.28827772612301605,3.3115274193089674,3.4688770910218447,7.4,7.4,9.4,9.4,0.6599999999999999,0.6599999999999999,0.66,False
clf,synthetic,clf_toeplitz,cit_no_bonferroni,5,5,0.14636481359999604,0.1518683719999956,0.1382057269999848,0.1563601270000276,0.015609611347185786,0.014830351604518208,66.38468341190337,67.42928466344253,8.8,8.8,11.8,11.8,0.5399999999999999,0.5399999999999999,0.5399999999999999,True
clf,synthetic,clf_toeplitz,cit_no_feature_mute,5,5,8.70239101319999,7.393073904000005,6.748697305999997,10.234205127999983,0.8795256590105408,0.9856028730508577,1.2498013684504345,1.0146074320020773,4.4,4.4,3.0,3.0,0.32,0.32,0.32,False
clf,synthetic,clf_toeplitz,cit_no_feature_scan,5,5,9.581931747999999,8.553981525999973,7.230535150999998,13.440368225000014,0.980247665529595,1.0559721225287413,1.1655868414229058,0.9469946967968201,5.4,5.4,7.6,7.6,0.58,0.58,0.58,False
clf,synthetic,clf_toeplitz,cit_no_threshold_scan,5,5,5.308582234399983,5.227360984999962,4.891445998999984,5.739302168999984,0.573844052500175,0.6158635461673243,1.8476855769633402,1.6237363068868984,7.4,7.4,2.8,2.8,0.3,0.3,0.30000000000000004,False
clf,synthetic,clf_weak_signal,cit_default,5,5,1.1665460163999968,0.6560036319999938,0.654662952999999,0.658599217999992,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16,0.16,0.16,False
clf,synthetic,clf_weak_signal,cit_exact_thresholds,5,5,0.6570980012000035,0.6567471380000143,0.6553992550000061,0.6605301959999963,0.8422403446766789,1.0011333870176202,1.7706953324446058,0.9988678960942492,1.0,1.0,0.0,0.0,0.16,0.16,0.16,False
clf,synthetic,clf_weak_signal,cit_no_adaptive,5,5,0.3964836737999974,0.0944996549999928,0.0943265679999996,0.0945588250000071,0.21513380399955864,0.144143752240701,5.9564445997903235,6.937518861935356,1.0,1.0,0.0,0.0,0.16,0.16,0.16,False
clf,synthetic,clf_weak_signal,cit_no_bonferroni,5,5,0.2702014202000072,0.1953976610000154,0.1920079730000026,0.2129670340000018,0.2448582422197368,0.2932928648553035,5.00083980948429,3.409561294623896,11.0,11.0,36.0,36.0,0.2,0.2,0.2,True
clf,synthetic,clf_weak_signal,cit_no_feature_mute,5,5,0.6600502566000017,0.6603323630000091,0.6586920839999948,0.6606708710000078,0.8473131821787607,1.007114654206692,1.7689709107205425,0.9929356065101682,1.0,1.0,0.0,0.0,0.16,0.16,0.16,False
clf,synthetic,clf_weak_signal,cit_no_feature_scan,5,5,0.657365390800004,0.6578115639999993,0.6531364490000016,0.6612690170000093,0.8425825311882675,1.0022422918553267,1.7700072781266651,0.9977627247687026,1.0,1.0,0.0,0.0,0.16,0.16,0.16,False
clf,synthetic,clf_weak_signal,cit_no_threshold_scan,5,5,0.657512540800002,0.6570423560000052,0.6557811610000073,0.657458604999988,0.84253315225444,1.0002583039092499,1.7683989539271376,0.9997417627944298,1.0,1.0,0.0,0.0,0.16,0.16,0.16,False
reg,real,real_california,cit_default,5,5,15.668808593599985,15.76964378999999,15.62330566099996,15.77138081199999,1.0,1.0,1.0,1.0,8.4,8.4,6.4,6.4,,,,False
reg,real,real_california,cit_exact_thresholds,5,5,66.22114147299999,66.36934996100001,65.89432601199996,66.92394698499999,4.226905344282228,4.276885172231685,0.23670534548124228,0.2338150218511007,8.2,8.2,6.2,6.2,,,,False
reg,real,real_california,cit_no_adaptive,5,5,6.559410864599997,5.742044848000035,5.655438683,7.391774633999944,0.41907749921267606,0.36753072445697244,2.5245647807331255,2.720860960610851,12.6,12.6,5.0,5.0,,,,False
reg,real,real_california,cit_no_bonferroni,5,5,0.1842602144000011,0.1822222560000455,0.180287217,0.1907550239999977,0.011757034356193135,0.011663489145893243,85.18210608280344,85.73763712483101,11.8,11.8,8.0,8.0,,,,True
reg,real,real_california,cit_no_feature_mute,5,5,15.6735114506,15.731131455999956,15.605700026000022,15.851942702999992,1.0002893940983202,0.9991612590851398,0.999717837003139,1.0008394449917206,8.4,8.4,6.4,6.4,,,,False
reg,real,real_california,cit_no_feature_scan,5,5,19.0045070662,19.225660627000025,17.666081892000022,20.612568923999987,1.2153526321354207,1.2078448576376974,0.8651626088895105,0.8279208986788251,9.2,9.2,7.2,7.2,,,,False
reg,real,real_california,cit_no_threshold_scan,5,5,9.278855676000001,9.178887073,7.811829246000002,10.154233384999998,0.5916039921689921,0.5819964137836333,1.8874666139118035,1.7182236459136782,11.6,11.6,6.4,6.4,,,,False
reg,real,real_diabetes,cit_default,5,5,0.4752956843999982,0.1267470290000005,0.1266099230000037,0.1308831449999985,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,,,,False
reg,real,real_diabetes,cit_exact_thresholds,5,5,0.16566515840000018,0.1124432269999999,0.1123818749999969,0.1223524039999972,0.7601813936216392,0.8866777290433753,1.9017541398969684,1.1278054779597166,5.0,5.0,3.0,3.0,,,,False
reg,real,real_diabetes,cit_no_adaptive,5,5,1.0447987192,0.3452037870000026,0.3145219210000078,0.4006202829999949,2.4207039303609927,2.4841806514644085,0.43232849913582977,0.4025472138713046,5.2,5.2,4.6,4.6,,,,False
