type,es,vm,alpha,time,iteration,n_features
reg,False,True,0.95,1.6063716411590576,4,300
clf,False,True,0.95,2.1154141426086426,4,300
reg,False,True,0.95,1.6061573028564453,5,300
clf,False,True,0.95,2.1283440589904785,5,300
reg,False,False,0.01,1.1143736839294434,1,300
clf,False,False,0.01,1.616689920425415,1,300
reg,False,False,0.01,1.0963311195373535,2,300
clf,False,False,0.01,1.6926867961883545,2,300
reg,False,False,0.01,1.0875043869018555,3,300
clf,False,False,0.01,1.7124223709106445,3,300
reg,False,False,0.01,1.0967822074890137,4,300
clf,False,False,0.01,1.594632863998413,4,300
reg,False,False,0.01,1.0934321880340576,5,300
clf,False,False,0.01,1.703136682510376,5,300
reg,False,False,0.05,1.3972575664520264,1,300
clf,False,False,0.05,2.007739543914795,1,300
